date,company,department,headcount,percentage,source,refute
2024-11-25,Keep,线上;国际化;市场,100,10,https://finance.sina.cn/2024-11-25/detail-incxhqmn4939148.d.html?vt=4,
2024-11-25,慧智微电子,研发,86,40,https://www.eet-china.com/news/202411262191.html,
2024-11-25,长城汽车,,100,,https://finance.sina.cn/2024-11-25/detail-incxhuth8069593.d.html?vt=4,
2024-11-27,毫末智行,职能,,30,https://www.esmchina.com/news/12535.html,
2024-11-29,富途集团,资讯互联网;产品研发,,5,https://www.zaobao.com.sg/realtime/china/story20241129-5419578,
2024-11-29,可优比,,,70,https://www.stcn.com/article/detail/1432465.html,
2024-11-29,网易深圳,游戏业务,,,https://www.thepaper.cn/newsDetail_forward_29494601,https://m.thepaper.cn/newsDetail_forward_29494601
